Settings: {"threads":4,"sourcedir":"C:\\Users\\pfeeney\\Desktop\\test","destdir":"C:\\Users\\pfeeney\\Desktop\\dest","nowriteoutput":false,"iterations":200,"conversion_host":"http://localhost:19060/PCCIS","min_avail":null,"workfile_host":"http://localhost:19020/PCCIS","workfile_exp":"1d","dest_format":"png,jpeg,svg,pdf,tiff","dest_opts_file":"C:/Users/pfeeney/Desktop/opts.json","filter":".*"}
File,Duration,Success
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.014,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"GSjPhJ9xoTZzzNdQdeqqzg"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\100e.dwg,0.146,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.374,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.578,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.134,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.127,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.679,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.895,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.781,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.095,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.69,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.131,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.783,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.465,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.793,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.576,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.368,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.583,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.259,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.088,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.898,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.605,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.012,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"DNVYZklgNWI_JdBZwSA9FQ"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\100e.dwg,0.13,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.815,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.144,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.251,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.124,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.358,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.129,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.452,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.9,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.788,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,1.983,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.684,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.129,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.673,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.467,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.858,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.468,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.9,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.362,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.273,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.716,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.679,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.088,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.13,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.354,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.622,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.014,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"wmnqe_5NyceA9XA_gGs0AA"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\100e.dwg,0.125,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.744,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.54,True,OK
